model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method	in_toks	out_toks
gpt-3.5-turbo-0125	KEGG_2021_Human	ABC transporters	ABC transporters	phospholipid transport, sterol transport, regulation of lipid transport, response to lipid	0.5	0.0	0.4689060004325566	llm2geneset	1090	895
gpt-3.5-turbo-0125	KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	AGE-RAGE signaling pathway in diabetic complications	MAPK signaling pathway, Inflammatory response, TGF-beta signaling pathway, Extracellular matrix organization, Positive regulation of NF-kappaB transcription factor activity	0.2857142857142857	0.16666666666666666	0.47978293805778577	llm2geneset	1313	1077
gpt-3.5-turbo-0125	KEGG_2021_Human	AMPK signaling pathway	AMPK signaling pathway	AMPK signaling pathway, Insulin signaling pathway, mTOR signaling pathway, Adipocytokine signaling pathway	1.0	1.0	0.9999987878486258	llm2geneset	1439	1154
gpt-3.5-turbo-0125	KEGG_2021_Human	Acute myeloid leukemia	Acute myeloid leukemia	Cellular response to growth factor stimulus, Regulation of cellular response to growth factor stimulus, Positive regulation of MAPK cascade, MAPK signaling pathway	0.0	0.0	0.24218761459345506	llm2geneset	1190	782
gpt-3.5-turbo-0125	KEGG_2021_Human	Adherens junction	Adherens junction	Regulation of actin cytoskeleton, Rho protein signal transduction, RHOA signaling pathway, Insulin signaling pathway	0.0	0.0	0.35547312658807895	llm2geneset	1194	1528
gpt-3.5-turbo-0125	KEGG_2021_Human	Adipocytokine signaling pathway	Adipocytokine signaling pathway	Fatty acid metabolism, Insulin signaling pathway, MAPK signaling pathway	0.6666666666666666	0.5	0.6836898589279015	llm2geneset	1196	1780
gpt-3.5-turbo-0125	KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	Adrenergic signaling in cardiomyocytes	Adrenergic signaling in cardiomyocytes, Cardiac muscle contraction, Calcium signaling pathway, Muscle contraction	1.0	1.0	0.9999991026619344	llm2geneset	1632	1469
gpt-3.5-turbo-0125	KEGG_2021_Human	African trypanosomiasis	African trypanosomiasis	innate immune response, hemoglobin complex	0.0	0.0	0.2270961268292227	llm2geneset	1053	1843
gpt-3.5-turbo-0125	KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism, Valine, leucine and isoleucine degradation	1.0	1.0	0.9997064932185245	llm2geneset	1073	1591
gpt-3.5-turbo-0125	KEGG_2021_Human	Alcoholism	Alcoholism	NMDA receptor complex, Negative regulation of dopamine uptake, Positive regulation of CREB transcription factor activity	0.0	0.0	0.17350887687628502	llm2geneset	1712	898
gpt-3.5-turbo-0125	KEGG_2021_Human	Aldosterone synthesis and secretion	Aldosterone synthesis and secretion	positive regulation of aldosterone biosynthetic process, calcium ion transport, cAMP biosynthetic process, potassium ion transport, positive regulation of steroid hormone biosynthetic process, positive regulation of aldosterone biosynthetic process, positive regulation of hormone biosynthetic process, positive regulation of CREB transcription factor activity	0.25	0.0	0.6541224586332107	llm2geneset	2922	2847
gpt-3.5-turbo-0125	KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	Aldosterone-regulated sodium reabsorption	PI3K-Akt signaling pathway, Insulin signaling pathway	0.0	0.0	0.2605582279302817	llm2geneset	1101	1007
