model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method
gpt-3.5-turbo-0125	KEGG_2021_Human	Olfactory transduction, Steroid hormone biosynthesis	Olfactory transduction, Steroid hormone biosynthesis	Odorant sensing and signal transduction	0.2	0.0	0.643456702906027	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid elongation, MAPK signaling pathway	Fatty acid elongation, MAPK signaling pathway	MAPK Signaling Pathway	0.5	0.4	0.6129951915920306	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Sphingolipid metabolism, Tryptophan metabolism	Sphingolipid metabolism, Tryptophan metabolism	Sphingolipid metabolism	0.5	0.3333333333333333	0.7673944706948235	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Antigen processing and presentation, TGF-beta signaling pathway	Antigen processing and presentation, TGF-beta signaling pathway	TGF-beta signaling pathway regulation	0.5	0.42857142857142855	0.6225285360213422	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Steroid hormone biosynthesis, Wnt signaling pathway	Steroid hormone biosynthesis, Wnt signaling pathway	Wnt signaling pathway regulation and crosstalk	0.5	0.4	0.6057942708931673	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Cholesterol metabolism, Olfactory transduction	Cholesterol metabolism, Olfactory transduction	Olfactory signal transduction	0.5	0.0	0.621661368723814	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid degradation, Glycerophospholipid metabolism	Fatty acid degradation, Glycerophospholipid metabolism	Lipid metabolism and membrane remodeling LLM self-assessed confidence: 0.85	0.2	0.0	0.4275686011800539	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Arachidonic acid metabolism, Hedgehog signaling pathway	Arachidonic acid metabolism, Hedgehog signaling pathway	Hedgehog signaling pathway	0.5	0.4	0.6110299390836926	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycosaminoglycan biosynthesis, T cell receptor signaling pathway	Glycosaminoglycan biosynthesis, T cell receptor signaling pathway	T cell receptor signaling cascade	0.5714285714285714	0.5	0.5423002232546571	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycerophospholipid metabolism, Tryptophan metabolism	Glycerophospholipid metabolism, Tryptophan metabolism	Phospholipid metabolism and signaling	0.25	0.0	0.6262036482104574	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Tryptophan metabolism, Tyrosine metabolism	Tryptophan metabolism, Tyrosine metabolism	Tryptophan metabolism and neurotransmitter synthesis	0.5	0.3333333333333333	0.7991052246233067	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Axon guidance, mTOR signaling pathway	Axon guidance, mTOR signaling pathway	Cell Growth and Signaling Cascade Integration  	0.2	0.0	0.47027725136961385	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Arginine and proline metabolism, Hedgehog signaling pathway	Arginine and proline metabolism, Hedgehog signaling pathway	Hedgehog Signaling Pathway	0.42857142857142855	0.3333333333333333	0.5910257961332732	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Homologous recombination, Tyrosine metabolism	Homologous recombination, Tyrosine metabolism	DNA Damage Repair and Homologous Recombination	0.5	0.3333333333333333	0.6023904965243991	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Antigen processing and presentation, Fatty acid degradation	Antigen processing and presentation, Fatty acid degradation	Immune response regulation and antigen presentation	0.42857142857142855	0.0	0.5817256403334219	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Notch signaling pathway, Purine metabolism	Notch signaling pathway, Purine metabolism	Notch signaling pathway  	0.6	0.5	0.7489591669452389	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	DNA replication, Purine metabolism	DNA replication, Purine metabolism	Nucleotide Biosynthesis and Metabolism	0.25	0.0	0.6775150862756514	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Antigen processing and presentation, Sphingolipid metabolism	Antigen processing and presentation, Sphingolipid metabolism	Antigen Presentation Pathway	0.3333333333333333	0.0	0.5945509593512778	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Arginine and proline metabolism, Cholesterol metabolism	Arginine and proline metabolism, Cholesterol metabolism	Lipid metabolism and cholesterol homeostasis	0.5	0.0	0.5515610999510824	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Base excision repair, T cell receptor signaling pathway	Base excision repair, T cell receptor signaling pathway	Immune response regulation and signaling cascades	0.125	0.0	0.47230437948313464	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Renin-angiotensin system, Sulfur metabolism	Renin-angiotensin system, Sulfur metabolism	Renin-angiotensin system regulation	0.6	0.5	0.564560949776949	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Notch signaling pathway, Vitamin B6 metabolism	Notch signaling pathway, Vitamin B6 metabolism	Notch signaling pathway regulation	0.5	0.4	0.6366683055713943	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycosaminoglycan biosynthesis, Wnt signaling pathway	Glycosaminoglycan biosynthesis, Wnt signaling pathway	Wnt signaling pathway regulation	0.6	0.5	0.539510051740641	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Glutathione metabolism, Sphingolipid metabolism	Glutathione metabolism, Sphingolipid metabolism	Lipid Metabolism and Redox Homeostasis	0.25	0.0	0.6029950309399419	GSAI
