geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	PercentDetectedSamples
ENSG00000000419	238.854542920968	0.5551640814411	0.247024448827633	2.2474054049139	0.0246141299058034	0.0525901715079479	DPM1	1
ENSG00000000457	175.590568351092	0.610243904696093	0.246488002193154	2.47575500335262	0.0132954778085402	0.0302645361640499	SCYL3	1
ENSG00000000460	37.7596558708416	-1.48111404347902	0.569701453280425	-2.59980738148121	0.00932761002073307	0.0219832712789625	C1orf112	1
ENSG00000000938	2626.05439981491	1.1903982396001	0.0834500275087367	14.2648034415024	3.62612176924268e-46	6.99508236500134e-45	FGR	1
ENSG00000000971	4.17032264319405	4.94401969101199	1.9953960256368	2.47771351024626	0.0132227269395055	0.0301135561053062	CFH	0.375
ENSG00000001036	1495.17227053522	-0.11565797174386	0.0980689462430752	-1.17935367080613	0.238257375023274	0.361642036152434	FUCA2	1
ENSG00000001084	710.861934339477	0.362878616319159	0.150400290385021	2.41275209901656	0.0158325840594938	0.0354939629569044	GCLC	1
ENSG00000001167	623.782192545841	0.51035378465534	0.129978397098674	3.92645082603919	8.62085068490673e-05	0.000293689494142062	NFYA	1
ENSG00000001460	40.7573932703249	0.500733639677749	0.564983566252698	0.886280008105204	0.375466659225905	0.508541618866792	STPG1	1
ENSG00000001461	161.432698039788	-0.521742101076174	0.311674318150161	-1.67399772997917	0.094131045485411	0.16925775382449	NIPAL3	1
ENSG00000001561	33.9575597458194	2.12007656455734	0.637309325096189	3.32660527795879	0.000879108046703739	0.00254933792624463	ENPP4	0.916666666666667
ENSG00000001626	0.89752360765348	3.49742861797611	3.43096626662344	1.01937132171751	0.308026715760535	0.43941770173873	CFTR	0.0833333333333333
ENSG00000001629	843.421241152849	1.28676107523784	0.137621522765138	9.34999881838104	8.76487051674285e-21	8.68642523445769e-20	ANKIB1	1
ENSG00000001630	69.2518505610293	0.180813608417904	0.494293548896181	0.365802080204533	0.71451276752905	0.802250942096689	CYP51A1	1
ENSG00000001631	55.2727338025532	-0.0765682732569507	0.425622297974939	-0.179897231938396	0.857233248343553	0.906479522629925	KRIT1	1
ENSG00000002016	60.6528216503391	0.187040894197906	0.477447443499905	0.391751797489609	0.695241613932873	0.785568280309978	RAD52	1
ENSG00000002330	182.676019791355	-0.371073832853559	0.223971281353577	-1.65679202534791	0.0975615298567828	0.174378214841883	BAD	1
ENSG00000002549	7285.64003743392	2.46378121500818	0.0700325176017366	35.180531835501	3.96918003587117e-271	5.12097053618865e-269	LAP3	1
ENSG00000002587	431.635904299843	0.129777926730299	0.147924154886397	0.877327484682712	0.380308787839253	0.514109630239682	HS3ST1	1
ENSG00000002726	225.763934622394	-0.011614401156862	0.226796022190504	-0.0512107798218178	0.959157562061471	0.972714559405096	AOC1	1
ENSG00000002822	16.1283699500515	-2.37167604144439	1.03993421847688	-2.28060198357356	0.0225720098238226	0.0487080211987752	MAD1L1	0.833333333333333
ENSG00000002834	5881.88766143861	-1.33245162042351	0.0577862780295991	-23.0582703343691	1.21513181677049e-117	5.87230197224859e-116	LASP1	1
ENSG00000002919	522.368299846895	0.0132285755792474	0.174056079014233	0.0760018015697441	0.939417664900252	0.957674594014639	SNX11	1
ENSG00000002933	1286.15425037222	0.106152578946085	0.143498294380378	0.739748018639869	0.459452905472641	0.586425828824391	TMEM176A	1
ENSG00000003056	6860.86167299419	0.0982394906532206	0.0622148247554095	1.57903668521832	0.114327642746947	0.199403403193639	M6PR	1
ENSG00000003137	1.07926421554108	0.259100200721235	3.36954388614921	0.0768947399042011	0.938707282107543	0.957221413115682	CYP26B1	0.208333333333333
ENSG00000003147	69.8102509275541	-1.5819207465495	0.481168840631974	-3.28766248552542	0.00101022873317684	0.0029070690965144	ICA1	1
ENSG00000003249	1.5306146992374	-3.89788779778142	2.68636435462702	-1.45098999362006	0.146782646575618	0.245709363027367	DBNDD1	0.541666666666667
ENSG00000003393	263.959811895844	-0.50420991784632	0.195428267908469	-2.58002551648502	0.00987930150737198	0.023120755050453	ALS2	1
ENSG00000003400	483.24927339136	0.221429859467253	0.159793770269666	1.38572272932524	0.16583158497517	0.271552116849769	CASP10	1
ENSG00000003402	7240.91026518432	2.67756182224451	0.0867324129676521	30.8715246195577	2.88088104546319e-209	2.5321143838968e-207	CFLAR	1
ENSG00000003436	128.109318232083	0.355371688732026	0.321005883602019	1.10705662072105	0.268269449031358	0.395873374787827	TFPI	1
ENSG00000003509	75.5824235791061	-1.63545252824541	0.441923977837078	-3.70075535672414	0.000214958641661229	0.00068907302887665	NDUFAF7	1
ENSG00000003756	1136.89263466703	0.426835721427985	0.10853386868638	3.93274216236934	8.39823049676956e-05	0.000286869845703353	RBM5	1
ENSG00000003987	0.322534702277118	1.94086039981436	3.51880905280849	0.551567411214112	0.581244769190429	0.691309640487568	MTMR7	0.166666666666667
ENSG00000003989	527.410124237046	2.82611540745645	0.176933651433084	15.9727411069979	1.97894567454936e-57	4.60760149357412e-56	SLC7A2	1
ENSG00000004059	523.789872950809	-0.203203694678182	0.157745314293734	-1.28817578885292	0.1976847778793	0.312118674224385	ARF5	1
ENSG00000004139	134.936678895296	1.17570491926423	0.279871690752186	4.20087117816166	2.65889858756768e-05	9.78850545470268e-05	SARM1	1
ENSG00000004142	944.216757837139	0.241108912410902	0.118917255394038	2.02753512610071	0.0426077159293019	0.0851609308007068	POLDIP2	1
ENSG00000004399	8840.35613186153	-0.264817915546903	0.0601735330945832	-4.400903552242	1.07801036492717e-05	4.15685762598597e-05	PLXND1	1
ENSG00000004455	859.393296827983	0.226822962833595	0.117967620470232	1.92275610823931	0.0545106866969696	0.105619149492902	AK2	1
ENSG00000004468	645.214578004119	7.81976586122465	1.51387114919678	5.16541045476268	2.39911863780031e-07	1.10005886545112e-06	CD38	0.541666666666667
ENSG00000004478	1081.55019160146	-0.666174594306084	0.118674730193513	-5.6134494110061	1.98332604772822e-08	1.01056210902906e-07	FKBP4	1
ENSG00000004487	441.048338377064	0.0773817130218115	0.151668915548182	0.51020153168583	0.609910279225924	0.717934900540233	KDM1A	1
ENSG00000004534	922.942576322007	0.547788316832986	0.123304465615974	4.44256673184124	8.88920509831873e-06	3.4561485014558e-05	RBM6	1
ENSG00000004660	149.054854798868	-3.52132422606384	0.350573292890881	-10.0444737162562	9.71649433138041e-24	1.06669055255428e-22	CAMKK1	1
ENSG00000004700	692.248830956033	0.576272063782429	0.143789493075736	4.00774807293395	6.13004585230069e-05	0.000214125272779197	RECQL	1
