term	go_id	go_depth
1-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0003841)	GO:0003841	8
1-Acylglycerophosphocholine O-acyltransferase Activity (GO:0047184)	GO:0047184	7
1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity (GO:0003847)	GO:0003847	6
1-Phosphatidylinositol Binding (GO:0005545)	GO:0005545	6
1-Phosphatidylinositol-3-Kinase Activity (GO:0016303)	GO:0016303	8
1-Phosphatidylinositol-3-Kinase Regulator Activity (GO:0046935)	GO:0046935	5
1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity (GO:0035005)	GO:0035005	8
1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity (GO:0016308)	GO:0016308	8
11-Cis Retinal Binding (GO:0005502)	GO:0005502	7
2 Iron, 2 Sulfur Cluster Binding (GO:0051537)	GO:0051537	5
2-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0047144)	GO:0047144	7
2-Oxoglutarate-Dependent Dioxygenase Activity (GO:0016706)	GO:0016706	5
3',5'-cyclic-AMP Phosphodiesterase Activity (GO:0004115)	GO:0004115	9
3',5'-cyclic-GMP Phosphodiesterase Activity (GO:0047555)	GO:0047555	9
3',5'-Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004114)	GO:0004114	8
3'-5' DNA Helicase Activity (GO:0043138)	GO:0043138	6
3'-5' RNA Helicase Activity (GO:0034458)	GO:0034458	6
3'-5' Exonuclease Activity (GO:0008408)	GO:0008408	7
3'-5'-DNA Exonuclease Activity (GO:0008296)	GO:0008296	8
3'-5'-RNA Exonuclease Activity (GO:0000175)	GO:0000175	8
3-hydroxyacyl-CoA Dehydratase Activity (GO:0018812)	GO:0018812	7
3-hydroxyacyl-CoA Dehydrogenase Activity (GO:0003857)	GO:0003857	6
4 Iron, 4 Sulfur Cluster Binding (GO:0051539)	GO:0051539	5
4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase Activity (GO:0017083)	GO:0017083	8
5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] Hydrolase Activity (GO:0140933)	GO:0140933	8
5'-3' DNA Exonuclease Activity (GO:0035312)	GO:0035312	8
5'-3' DNA Helicase Activity (GO:0043139)	GO:0043139	6
5'-3' RNA Polymerase Activity (GO:0034062)	GO:0034062	7
5'-3' Exonuclease Activity (GO:0008409)	GO:0008409	7
5'-Flap Endonuclease Activity (GO:0017108)	GO:0017108	9
