geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	PercentDetectedSamples
ENSG00000000419	237.093507697612	0.0584794477286714	0.251890871516014	0.232161838087704	0.81641231680223	0.993154440787363	DPM1	1
ENSG00000000457	160.404176400207	0.504193399929016	0.299238548838913	1.68492128399017	0.0920037595524195	0.875708592099319	SCYL3	1
ENSG00000000460	106.861583492194	-0.0340277790283617	0.36582336749955	-0.0930169640636844	0.925890084277054	0.997818991300488	C1orf112	1
ENSG00000000938	1753.20874137216	-0.230050300092056	0.0783828710825699	-2.9349562846418	0.00333594682434016	0.343681118280017	FGR	1
ENSG00000000971	2.05731283973902	-0.768712467166139	2.92996295726859	-0.262362520747621	0.793041964953198	0.989834742054954	CFH	0.375
ENSG00000001036	1758.21789354963	-0.0565670017894975	0.0896842624371096	-0.630734983511346	0.528213820901218	0.980913508526337	FUCA2	1
ENSG00000001084	713.324087194978	0.0506633169867533	0.12220352877368	0.414581456813586	0.678448325064896	0.989834742054954	GCLC	1
ENSG00000001167	565.529893801431	0.0205859636805177	0.141708821470837	0.145269457940939	0.884498127928535	0.994229161972297	NFYA	1
ENSG00000001460	37.8403069166696	1.34199806090697	0.555450747690219	2.41605230794543	0.0156898072131821	0.624507287928435	STPG1	1
ENSG00000001461	263.111673056516	0.20425814224215	0.207169222960189	0.985948295425142	0.324158485776367	0.958346407802033	NIPAL3	1
ENSG00000001561	21.451831686222	0.599318738901168	0.748516090216781	0.800675826123653	0.423319340790395	0.966102113640717	ENPP4	0.916666666666667
ENSG00000001626	0.348785332757047	-1.85444862439839	3.50907612587903	-0.528472041607204	0.597171747157344	0.983486294983404	CFTR	0.0833333333333333
ENSG00000001629	635.030703858304	0.201010921688781	0.119382741892894	1.68375192679962	0.092229621354928	0.875708592099319	ANKIB1	1
ENSG00000001630	76.0988759789738	0.123191385496452	0.408962501002167	0.301229049593961	0.763239839590431	0.989834742054954	CYP51A1	1
ENSG00000001631	59.7537886050325	-0.405322653318491	0.517659901608515	-0.782990245253765	0.433632840365481	0.966598322386564	KRIT1	1
