Analyte	Target	EntrezGeneSymbol	Estimate	Standard_error	Pvalue	FDR	bonferroni	diffexpressed
X5694.57	SMOC1	SMOC1	0.183468865	0.005181559	3.93E-185	2.76E-181	2.76E-181	Significant
X4179.57	14-3-3 protein gamma	YWHAG	0.221820887	0.006327635	1.16E-182	4.07E-179	8.14E-179	Significant
X12853.112	TMOD2	TMOD2	0.048570944	0.001438034	1.66E-172	3.88E-169	1.16E-168	Significant
X12414.31	14-3-3 protein beta/alpha	YWHAB	0.152598487	0.004822792	1.01E-157	1.77E-154	7.09E-154	Significant
X15545.13	Calcineurin B a	PPP3R1	0.109960957	0.003599771	1.24E-149	1.75E-146	8.74E-146	Significant
X13118.5	SMOC1	SMOC1	0.115940622	0.00381365	1.12E-148	1.31E-145	7.88E-145	Significant
X12861.13	TMOD3	TMOD3	0.112593555	0.003868197	3.18E-139	3.20E-136	2.24E-135	Significant
X19620.16	DLG2	DLG2	0.133714082	0.004611126	1.96E-138	1.72E-135	1.38E-134	Significant
X5858.6	14-3-3 protein zeta/delta	YWHAZ	0.133494492	0.004632166	2.60E-137	2.03E-134	1.83E-133	Significant
X14157.21	14-3-3E	YWHAE	0.116349597	0.004063617	6.17E-136	4.34E-133	4.34E-132	Significant
X16885.49	MARE3	MAPRE3	0.099050865	0.00359709	1.08E-127	6.88E-125	7.57E-124	Significant
X25219.17	VATF	ATP6V1F	0.081569806	0.003010616	1.08E-124	6.34E-122	7.60E-121	Significant
X19229.92	HOME1	HOMER1	0.058786886	0.002218404	3.49E-120	1.89E-117	2.45E-116	Significant
X15474.7	PIN1	PIN1	0.070459241	0.002688625	2.33E-118	1.17E-115	1.64E-114	Significant
X22430.15	CHIN	CHN1	0.062206598	0.002378295	1.76E-117	8.24E-115	1.24E-113	Significant
X24717.26	PTPA	PTPA	0.1359606	0.005255315	3.35E-116	1.47E-113	2.35E-112	Significant
X14675.20	IF4B	EIF4B	0.046574257	0.001809652	8.77E-115	3.63E-112	6.17E-111	Significant
X21140.19	CAMLG	CAMLG	0.046984515	0.001838965	1.29E-113	5.02E-111	9.04E-110	Significant
