model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method	in_toks	out_toks
gpt-4o-mini-2024-07-18	KEGG_2021_Human	ABC transporters	ABC transporters	Lipid Transport, Organic Substance Transport, Xenobiotic Transport, Leukotriene Transport, Cholesterol Efflux	0.5	0.0	0.5669990249188702	ORA	0	0
gpt-3.5-turbo-0125	KEGG_2021_Human	ABC transporters	ABC transporters	Lipid Transport, Organic Substance Transport, Xenobiotic Transport, Leukotriene Transport, Cholesterol Efflux	0.5	0.0	0.5669990249188702	ORA	0	0
gpt-4o-2024-08-06	KEGG_2021_Human	ABC transporters	ABC transporters	Lipid Transport, Organic Substance Transport, Xenobiotic Transport, Leukotriene Transport, Cholesterol Efflux	0.5	0.0	0.5669990249188702	ORA	0	0
gpt-4o-mini-2024-07-18	KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	AGE-RAGE signaling pathway in diabetic complications	Regulation Of Cell Population Proliferation, Positive Regulation Of Macromolecule Metabolic Process, Positive Regulation Of Protein Phosphorylation, Phosphatidylinositol-Mediated Signaling, Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway	0.2857142857142857	0.16666666666666666	0.44706508458487604	ORA	0	0
gpt-3.5-turbo-0125	KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	AGE-RAGE signaling pathway in diabetic complications	Regulation Of Cell Population Proliferation, Positive Regulation Of Macromolecule Metabolic Process, Positive Regulation Of Protein Phosphorylation, Phosphatidylinositol-Mediated Signaling, Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway	0.2857142857142857	0.16666666666666666	0.44706508458487604	ORA	0	0
gpt-4o-2024-08-06	KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	AGE-RAGE signaling pathway in diabetic complications	Regulation Of Cell Population Proliferation, Positive Regulation Of Macromolecule Metabolic Process, Positive Regulation Of Protein Phosphorylation, Phosphatidylinositol-Mediated Signaling, Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway	0.2857142857142857	0.16666666666666666	0.44706508458487604	ORA	0	0
gpt-4o-mini-2024-07-18	KEGG_2021_Human	AMPK signaling pathway	AMPK signaling pathway	Glucose Homeostasis, Response To Insulin, Cellular Response To Insulin Stimulus, Cellular Response To Peptide Hormone Stimulus, Protein Modification Process	0.0	0.0	0.42830290795621695	ORA	0	0
gpt-3.5-turbo-0125	KEGG_2021_Human	AMPK signaling pathway	AMPK signaling pathway	Glucose Homeostasis, Response To Insulin, Cellular Response To Insulin Stimulus, Cellular Response To Peptide Hormone Stimulus, Protein Modification Process	0.0	0.0	0.42830290795621695	ORA	0	0
gpt-4o-2024-08-06	KEGG_2021_Human	AMPK signaling pathway	AMPK signaling pathway	Glucose Homeostasis, Response To Insulin, Cellular Response To Insulin Stimulus, Cellular Response To Peptide Hormone Stimulus, Protein Modification Process	0.0	0.0	0.42830290795621695	ORA	0	0
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Acute myeloid leukemia	Acute myeloid leukemia	Positive Regulation Of DNA-templated Transcription, Regulation Of Cell Population Proliferation, Cytokine-Mediated Signaling Pathway, Protein Phosphorylation, Cellular Response To Cytokine Stimulus	0.0	0.0	0.290323682981658	ORA	0	0
gpt-3.5-turbo-0125	KEGG_2021_Human	Acute myeloid leukemia	Acute myeloid leukemia	Positive Regulation Of DNA-templated Transcription, Regulation Of Cell Population Proliferation, Cytokine-Mediated Signaling Pathway, Protein Phosphorylation, Cellular Response To Cytokine Stimulus	0.0	0.0	0.290323682981658	ORA	0	0
gpt-4o-2024-08-06	KEGG_2021_Human	Acute myeloid leukemia	Acute myeloid leukemia	Positive Regulation Of DNA-templated Transcription, Regulation Of Cell Population Proliferation, Cytokine-Mediated Signaling Pathway, Protein Phosphorylation, Cellular Response To Cytokine Stimulus	0.0	0.0	0.290323682981658	ORA	0	0
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Adherens junction	Adherens junction	Regulation Of Cell Migration, Peptidyl-Tyrosine Phosphorylation, Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway, Protein Phosphorylation, Positive Regulation Of Cellular Process	0.0	0.0	0.3618138316618448	ORA	0	0
gpt-3.5-turbo-0125	KEGG_2021_Human	Adherens junction	Adherens junction	Regulation Of Cell Migration, Peptidyl-Tyrosine Phosphorylation, Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway, Protein Phosphorylation, Positive Regulation Of Cellular Process	0.0	0.0	0.3618138316618448	ORA	0	0
gpt-4o-2024-08-06	KEGG_2021_Human	Adherens junction	Adherens junction	Regulation Of Cell Migration, Peptidyl-Tyrosine Phosphorylation, Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway, Protein Phosphorylation, Positive Regulation Of Cellular Process	0.0	0.0	0.3618138316618448	ORA	0	0
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Adipocytokine signaling pathway	Adipocytokine signaling pathway	Fatty Acid Metabolic Process, Glucose Homeostasis, Cytokine-Mediated Signaling Pathway, Tumor Necrosis Factor-Mediated Signaling Pathway, Phosphorylation	0.6666666666666666	0.5	0.6615489071771166	ORA	0	0
gpt-3.5-turbo-0125	KEGG_2021_Human	Adipocytokine signaling pathway	Adipocytokine signaling pathway	Fatty Acid Metabolic Process, Glucose Homeostasis, Cytokine-Mediated Signaling Pathway, Tumor Necrosis Factor-Mediated Signaling Pathway, Phosphorylation	0.6666666666666666	0.5	0.6615489071771166	ORA	0	0
