model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method	in_toks	out_toks
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Glutathione Metabolism WP100	Glutathione Metabolism	Glutathione Metabolism, Antioxidant Defense Response, Reactive Oxygen Species (ROS) Metabolism, Cellular Response to Oxidative Stress	1.0	1.0	0.9999989067515976	llm2geneset	1086	1227
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Alanine And Aspartate Metabolism WP106	Alanine And Aspartate Metabolism	Urea cycle, Glutamate metabolism, Amino acid metabolic process	0.25	0.0	0.6089084364045976	llm2geneset	1022	970
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Translation Factors WP107	Translation Factors	Translation initiation, Regulation of translation, Peptide elongation	0.5	0.0	0.5731043419772293	llm2geneset	1210	1728
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Electron Transport Chain OXPHOS System In Mitochondria WP111	Electron Transport Chain OXPHOS System In Mitochondria	Oxidative phosphorylation, Mitochondrial electron transport, NADH to ubiquinone, Mitochondrial ATP synthesis, Mitochondrial transport	0.2857142857142857	0.16666666666666666	0.5937303350600804	llm2geneset	1467	1782
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	GPCRs Other WP117	GPCRs Other	G protein-coupled receptor signaling pathway, Neuroactive ligand-receptor interaction	0.0	0.0	0.5306731415739818	llm2geneset	1397	2477
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Osteoclast Signaling WP12	Osteoclast Signaling	Lysosomal acidification	0.0	0.0	0.40890706284502315	llm2geneset	1070	1915
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	IL 5 Signaling Pathway WP127	IL 5 Signaling Pathway	Mitogen-activated protein kinase (MAPK) signaling pathway, JAK-STAT signaling pathway, Cytokine signaling in the immune system, PI3K-Akt signaling pathway	0.5	0.3333333333333333	0.6035646606735909	llm2geneset	1164	1726
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Matrix Metalloproteinases WP129	Matrix Metalloproteinases	Extracellular matrix organization, Proteolytic activation of proteins	0.5	0.0	0.5096962331108374	llm2geneset	1090	1329
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Pentose Phosphate Metabolism WP134	Pentose Phosphate Metabolism	Pentose phosphate pathway, NADPH regeneration, Carbohydrate metabolic process	0.6666666666666666	0.5	0.8507202939840772	llm2geneset	1011	1500
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Phase I Biotransformations Non P450 WP136	Phase I Biotransformations Non P450	None found.	0.0	0.0	0.2523823926512299	llm2geneset	1022	1761
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Androgen Receptor Signaling Pathway WP138	Androgen Receptor Signaling Pathway	Regulation of gene expression by the AR complex, Epithelial-to-mesenchymal transition (EMT), Cell cycle regulation through CDK-cyclin complexes, Cell adhesion and migration via integrin signaling	0.25	0.0	0.45856403463872114	llm2geneset	1377	1685
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	AMP Activated Protein Kinase Signaling WP1403	AMP Activated Protein Kinase Signaling	AMP-activated protein kinase (AMPK) signaling pathway, Insulin signaling pathway, Adipocytokine signaling pathway, mTOR signaling pathway, Cell cycle regulation	1.0	0.75	0.7820263621177002	llm2geneset	1294	1284
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Sphingolipid Pathway WP1422	Sphingolipid Pathway	Sphingolipid metabolic process, Ceramide biosynthetic pathway, Glycosphingolipid biosynthesis	0.5	0.0	0.7650023144054605	llm2geneset	1127	1588
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Ganglio Sphingolipid Metabolism WP1423	Ganglio Sphingolipid Metabolism	Ganglioside biosynthesis, O-glycan biosynthesis	0.0	0.0	0.7509620276915832	llm2geneset	1075	1614
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Bone Morphogenic Protein Signaling And Regulation WP1425	Bone Morphogenic Protein Signaling And Regulation	Bone morphogenetic protein (BMP) signaling pathway, Signal transduction by bone morphogenetic proteins, Osteoblast differentiation, Negative regulation of BMP signaling, Skeletal system development	0.5	0.0	0.7914356750686291	llm2geneset	1060	1319
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Fatty Acid Beta Oxidation WP143	Fatty Acid Beta Oxidation	Fatty acid beta-oxidation, Acyl-CoA metabolism, Lipid metabolism, Carnitine metabolism	1.0	1.0	0.9504663340780667	llm2geneset	1110	1660
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Nucleotide Binding Oligomerization Domain NOD Pathway WP1433	Nucleotide Binding Oligomerization Domain NOD Pathway	NOD-like receptor signaling pathway, NF-kappa B signaling pathway, IL-1 signaling pathway, Apoptosis signaling pathway	0.3333333333333333	0.0	0.6942682363614573	llm2geneset	1149	1418
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Osteopontin Signaling WP1434	Osteopontin Signaling	NF-kB signaling pathway, Integrin signaling pathway, Extracellular matrix organization, MAPK signaling pathway	0.5	0.0	0.5953598882840795	llm2geneset	1040	1742
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Serotonin Transporter Activity WP1455	Serotonin Transporter Activity	Serotonin signaling pathway	0.3333333333333333	0.0	0.5909756906631461	llm2geneset	1053	1518
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Target Of Rapamycin Signaling WP1471	Target Of Rapamycin Signaling	mTOR signaling pathway, Insulin signaling pathway, Regulation of protein synthesis	0.25	0.0	0.6800011422238441	llm2geneset	1139	1437
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Selenium Micronutrient Network WP15	Selenium Micronutrient Network	Antioxidant defense response, Selenium metabolism, Inflammatory response, Hemostasis and blood coagulation, Cellular response to stress	0.3333333333333333	0.0	0.6719322778116199	llm2geneset	1288	1443
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Physiological And Pathological Hypertrophy Of The Heart WP1528	Physiological And Pathological Hypertrophy Of The Heart	Calcium signaling pathway, MAPK signaling pathway, Cardiac muscle contraction, Cytokine signaling in the immune system	0.14285714285714285	0.0	0.39375594365553634	llm2geneset	1089	1805
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	miRNA Regulation Of DNA Damage Response WP1530	miRNA Regulation Of DNA Damage Response	Cell cycle, DNA damage response, Apoptosis signaling pathway, p53 signaling pathway, Fanconi anemia pathway	0.5	0.4	0.6690953646196078	llm2geneset	1230	1298
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Vitamin D Metabolism WP1531	Vitamin D Metabolism	Vitamin D metabolism, Nuclear receptor signaling pathway, Cholesterol biosynthesis	1.0	1.0	0.9999989448115376	llm2geneset	1025	1536
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Vitamin B12 Metabolism WP1533	Vitamin B12 Metabolism	Cytokine signaling in immune system, Hemoglobin complex	0.0	0.0	0.30718080814473614	llm2geneset	1158	1136
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Angiogenesis WP1539	Angiogenesis	Angiogenesis, Vascular Smooth Muscle Cell Proliferation, Cellular Response to Hypoxia, Extracellular Matrix Organization	1.0	0.0	0.9999990287350947	llm2geneset	1092	1593
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Energy Metabolism WP1541	Energy Metabolism	AMPK signaling pathway, Glucose metabolism and insulin signaling, Mitochondrial biogenesis, Regulation of gene expression by the estrogen receptor, Calcium signaling pathway	0.5	0.0	0.5870209301036955	llm2geneset	1214	1841
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	MicroRNAs In Cardiomyocyte Hypertrophy WP1544	MicroRNAs In Cardiomyocyte Hypertrophy	PI3K-Akt signaling pathway, MAPK signaling pathway, Wnt signaling pathway, Neurotrophin signaling pathway	0.0	0.0	0.34332126640985705	llm2geneset	1337	1668
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	miRNAs Involved In DNA Damage Response WP1545	miRNAs Involved In DNA Damage Response	Cell cycle regulation, DNA damage response and repair, Transcriptional regulation	0.5	0.4	0.6476151451739608	llm2geneset	1048	1538
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Transcription Factors Regulate miRNAs Related To Cardiac Hypertrophy WP1559	Transcription Factors Regulate miRNAs Related To Cardiac Hypertrophy	PI3K-Akt signaling pathway, Cell growth and proliferation	0.0	0.0	0.3031891893524532	llm2geneset	1037	1522
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Type II Diabetes Mellitus WP1584	Type II Diabetes Mellitus	Adipocytokine signaling pathway, Insulin signaling pathway, Glucose metabolism and regulation, PI3K-Akt signaling pathway, MAPK signaling pathway	0.0	0.0	0.35777973450954237	llm2geneset	1085	1517
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Folate Alcohol And Cancer Pathway Hypotheses WP1589	Folate Alcohol And Cancer Pathway Hypotheses	Homocysteine metabolism, Alcohol metabolism	0.16666666666666666	0.0	0.41900377433036806	llm2geneset	1026	1385
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Heart Development WP1591	Heart Development	Heart development, Bone morphogenetic protein signaling pathway, Lung development, Vascular development, Neurogenic differentiation	1.0	1.0	0.999998665331065	llm2geneset	1160	1556
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Nicotine Metabolism In Liver Cells WP1600	Nicotine Metabolism In Liver Cells	Phase I metabolic process, Drug metabolism - cytochrome P450 pathway, Liver microsome component	0.2	0.0	0.5105778169228805	llm2geneset	1038	1708
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Fluoropyrimidine Activity WP1601	Fluoropyrimidine Activity	Thymidine metabolism	0.0	0.0	0.5211958397441134	llm2geneset	1122	1071
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Nicotine Effect On Dopaminergic Neurons WP1602	Nicotine Effect On Dopaminergic Neurons	Dopaminergic synapse, G protein-coupled receptor signaling pathway	0.2	0.0	0.5632868367331436	llm2geneset	1084	2136
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Codeine And Morphine Metabolism WP1604	Codeine And Morphine Metabolism	Xenobiotic metabolic process, Drug metabolism, Hepatocyte transport mechanisms, Phase II metabolic process	0.25	0.0	0.5463523741189706	llm2geneset	1077	1306
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Eicosanoid Synthesis WP167	Eicosanoid Synthesis	Lipoxygenase pathway, Arachidonic acid metabolism, Prostaglandin biosynthesis, Leukotriene biosynthesis, Platelet activation	0.0	0.0	0.7001163619484152	llm2geneset	1099	1218
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Nuclear Receptors WP170	Nuclear Receptors	Regulation of gene expression by nuclear receptors, Retinoic acid signaling pathway, Hormone signaling pathway, Steroid hormone biosynthesis, Thyroid hormone signaling pathway	1.0	1.0	0.7008213630713749	llm2geneset	1150	1072
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	TP53 Network WP1742	TP53 Network	p53 Signaling Pathway, Apoptosis, Cell Cycle Regulation, DNA Damage Response, Regulation of Gene Expression by MYC	0.0	0.0	0.6739553070486115	llm2geneset	1058	1142
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Folate Metabolism WP176	Folate Metabolism	Folate metabolism, Cytokine signaling in immune system, Antioxidant defense response, Apoptotic process	1.0	1.0	0.9999988700267498	llm2geneset	1220	1223
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Apoptosis Modulation And Signaling WP1772	Apoptosis Modulation And Signaling	Fas signaling pathway, TNF signaling pathway, Apoptosis signaling pathway, Interleukin-1 signaling pathway, NOD-like receptor signaling pathway	0.5	0.0	0.7695183514347104	llm2geneset	1328	1202
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Cell Cycle WP179	Cell Cycle	Cell Cycle Regulation, Chromosome Segregation, DNA Damage Response, TGF-beta Signaling Pathway	1.0	1.0	0.7621921901639207	llm2geneset	1451	1417
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Proteasome Degradation WP183	Proteasome Degradation	Proteasome-mediated protein catabolism, MHC class I protein complex assembly, Ubiquitin-protein transferase activity	0.5	0.0	0.8104725693756617	llm2geneset	1253	1419
