model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method	in_toks	out_toks
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Glutathione Metabolism WP100	Glutathione Metabolism	Glutathione Biosynthetic Process, Nonribosomal Peptide Biosynthetic Process, Unsaturated Fatty Acid Metabolic Process, Dicarboxylic Acid Metabolic Process, Sulfur Compound Biosynthetic Process	0.5	0.0	0.7191619627208697	ORA	0	0
gpt-3.5-turbo-0125	WikiPathway_2023_Human	Glutathione Metabolism WP100	Glutathione Metabolism	Glutathione Biosynthetic Process, Nonribosomal Peptide Biosynthetic Process, Unsaturated Fatty Acid Metabolic Process, Dicarboxylic Acid Metabolic Process, Sulfur Compound Biosynthetic Process	0.5	0.0	0.7191619627208697	ORA	0	0
gpt-4o-2024-08-06	WikiPathway_2023_Human	Glutathione Metabolism WP100	Glutathione Metabolism	Glutathione Biosynthetic Process, Nonribosomal Peptide Biosynthetic Process, Unsaturated Fatty Acid Metabolic Process, Dicarboxylic Acid Metabolic Process, Sulfur Compound Biosynthetic Process	0.5	0.0	0.7191619627208697	ORA	0	0
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Alanine And Aspartate Metabolism WP106	Alanine And Aspartate Metabolism	Dicarboxylic Acid Catabolic Process, Aspartate Metabolic Process, Aspartate Family Amino Acid Catabolic Process, Aspartate Family Amino Acid Metabolic Process, Glutamate Metabolic Process	0.5	0.3333333333333333	0.7197919704326698	ORA	0	0
gpt-3.5-turbo-0125	WikiPathway_2023_Human	Alanine And Aspartate Metabolism WP106	Alanine And Aspartate Metabolism	Dicarboxylic Acid Catabolic Process, Aspartate Metabolic Process, Aspartate Family Amino Acid Catabolic Process, Aspartate Family Amino Acid Metabolic Process, Glutamate Metabolic Process	0.5	0.3333333333333333	0.7197919704326698	ORA	0	0
gpt-4o-2024-08-06	WikiPathway_2023_Human	Alanine And Aspartate Metabolism WP106	Alanine And Aspartate Metabolism	Dicarboxylic Acid Catabolic Process, Aspartate Metabolic Process, Aspartate Family Amino Acid Catabolic Process, Aspartate Family Amino Acid Metabolic Process, Glutamate Metabolic Process	0.5	0.3333333333333333	0.7197919704326698	ORA	0	0
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Translation Factors WP107	Translation Factors	Cytoplasmic Translational Initiation, Regulation Of Translational Initiation, Regulation Of Translation, Formation Of Cytoplasmic Translation Initiation Complex, protein-RNA Complex Assembly	0.5	0.0	0.5293183810296045	ORA	0	0
gpt-3.5-turbo-0125	WikiPathway_2023_Human	Translation Factors WP107	Translation Factors	Cytoplasmic Translational Initiation, Regulation Of Translational Initiation, Regulation Of Translation, Formation Of Cytoplasmic Translation Initiation Complex, protein-RNA Complex Assembly	0.5	0.0	0.5293183810296045	ORA	0	0
gpt-4o-2024-08-06	WikiPathway_2023_Human	Translation Factors WP107	Translation Factors	Cytoplasmic Translational Initiation, Regulation Of Translational Initiation, Regulation Of Translation, Formation Of Cytoplasmic Translation Initiation Complex, protein-RNA Complex Assembly	0.5	0.0	0.5293183810296045	ORA	0	0
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Electron Transport Chain OXPHOS System In Mitochondria WP111	Electron Transport Chain OXPHOS System In Mitochondria	Mitochondrial ATP Synthesis Coupled Electron Transport, Aerobic Electron Transport Chain, Cellular Respiration, Oxidative Phosphorylation, Proton Motive Force-Driven ATP Synthesis	0.42857142857142855	0.3333333333333333	0.6670809357707163	ORA	0	0
