lib_name	descr	num_genes
KEGG_2021_Human	ABC transporters	45
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	100
KEGG_2021_Human	AMPK signaling pathway	120
KEGG_2021_Human	Acute myeloid leukemia	67
KEGG_2021_Human	Adherens junction	71
KEGG_2021_Human	Adipocytokine signaling pathway	69
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	150
KEGG_2021_Human	African trypanosomiasis	37
KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	37
KEGG_2021_Human	Alcoholism	186
KEGG_2021_Human	Aldosterone synthesis and secretion	98
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	37
KEGG_2021_Human	Allograft rejection	38
KEGG_2021_Human	Alzheimer disease	369
KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	48
KEGG_2021_Human	Aminoacyl-tRNA biosynthesis	66
KEGG_2021_Human	Amoebiasis	102
KEGG_2021_Human	Amphetamine addiction	69
KEGG_2021_Human	Amyotrophic lateral sclerosis	364
KEGG_2021_Human	Antigen processing and presentation	78
KEGG_2021_Human	Apelin signaling pathway	137
KEGG_2021_Human	Apoptosis	142
KEGG_2021_Human	Arachidonic acid metabolism	61
KEGG_2021_Human	Arginine and proline metabolism	50
KEGG_2021_Human	Arginine biosynthesis	22
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	77
KEGG_2021_Human	Ascorbate and aldarate metabolism	30
KEGG_2021_Human	Asthma	31
KEGG_2021_Human	Autoimmune thyroid disease	53
KEGG_2021_Human	Autophagy	137
KEGG_2021_Human	Axon guidance	182
KEGG_2021_Human	B cell receptor signaling pathway	81
KEGG_2021_Human	Bacterial invasion of epithelial cells	77
KEGG_2021_Human	Basal cell carcinoma	63
KEGG_2021_Human	Basal transcription factors	45
KEGG_2021_Human	Base excision repair	33
KEGG_2021_Human	Bile secretion	90
KEGG_2021_Human	Biosynthesis of unsaturated fatty acids	27
KEGG_2021_Human	Bladder cancer	41
KEGG_2021_Human	Breast cancer	147
KEGG_2021_Human	Butanoate metabolism	28
KEGG_2021_Human	C-type lectin receptor signaling pathway	104
KEGG_2021_Human	Caffeine metabolism	6
KEGG_2021_Human	Calcium signaling pathway	240
KEGG_2021_Human	Carbohydrate digestion and absorption	47
KEGG_2021_Human	Cardiac muscle contraction	87
KEGG_2021_Human	Cell adhesion molecules	148
KEGG_2021_Human	Cell cycle	124
KEGG_2021_Human	Cellular senescence	156
KEGG_2021_Human	Central carbon metabolism in cancer	70
KEGG_2021_Human	Chagas disease	102
KEGG_2021_Human	Chemical carcinogenesis	239
KEGG_2021_Human	Chemokine signaling pathway	192
KEGG_2021_Human	Cholesterol metabolism	50
KEGG_2021_Human	Choline metabolism in cancer	98
KEGG_2021_Human	Cholinergic synapse	113
KEGG_2021_Human	Chronic myeloid leukemia	76
KEGG_2021_Human	Circadian entrainment	97
KEGG_2021_Human	Circadian rhythm	31
KEGG_2021_Human	Citrate cycle (TCA cycle)	30
KEGG_2021_Human	Cocaine addiction	49
KEGG_2021_Human	Collecting duct acid secretion	27
KEGG_2021_Human	Colorectal cancer	86
KEGG_2021_Human	Complement and coagulation cascades	85
KEGG_2021_Human	Coronavirus disease	232
KEGG_2021_Human	Cortisol synthesis and secretion	65
KEGG_2021_Human	Cushing syndrome	155
KEGG_2021_Human	Cysteine and methionine metabolism	50
KEGG_2021_Human	Cytokine-cytokine receptor interaction	295
KEGG_2021_Human	Cytosolic DNA-sensing pathway	63
KEGG_2021_Human	D-Glutamine and D-glutamate metabolism	5
KEGG_2021_Human	DNA replication	36
KEGG_2021_Human	Diabetic cardiomyopathy	203
KEGG_2021_Human	Dilated cardiomyopathy	96
KEGG_2021_Human	Dopaminergic synapse	132
KEGG_2021_Human	Drug metabolism	108
KEGG_2021_Human	ECM-receptor interaction	88
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	53
KEGG_2021_Human	Endocytosis	252
KEGG_2021_Human	Endometrial cancer	58
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	70
KEGG_2021_Human	Epstein-Barr virus infection	202
KEGG_2021_Human	ErbB signaling pathway	85
KEGG_2021_Human	Estrogen signaling pathway	137
KEGG_2021_Human	Ether lipid metabolism	49
KEGG_2021_Human	Fanconi anemia pathway	54
KEGG_2021_Human	Fat digestion and absorption	43
KEGG_2021_Human	Fatty acid biosynthesis	18
KEGG_2021_Human	Fatty acid degradation	43
KEGG_2021_Human	Fatty acid elongation	27
KEGG_2021_Human	Fc epsilon RI signaling pathway	68
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	97
KEGG_2021_Human	Ferroptosis	41
KEGG_2021_Human	Fluid shear stress and atherosclerosis	139
KEGG_2021_Human	Focal adhesion	201
KEGG_2021_Human	Folate biosynthesis	26
KEGG_2021_Human	FoxO signaling pathway	131
KEGG_2021_Human	Fructose and mannose metabolism	33
KEGG_2021_Human	GABAergic synapse	89
KEGG_2021_Human	Galactose metabolism	31
KEGG_2021_Human	Gap junction	88
KEGG_2021_Human	Gastric acid secretion	76
KEGG_2021_Human	Gastric cancer	149
KEGG_2021_Human	Glioma	75
KEGG_2021_Human	Glucagon signaling pathway	107
KEGG_2021_Human	Glutamatergic synapse	114
KEGG_2021_Human	Glutathione metabolism	57
KEGG_2021_Human	Glycerolipid metabolism	61
KEGG_2021_Human	Glycerophospholipid metabolism	98
KEGG_2021_Human	Glycine, serine and threonine metabolism	40
KEGG_2021_Human	Glycolysis / Gluconeogenesis	67
KEGG_2021_Human	Glycosaminoglycan biosynthesis	53
KEGG_2021_Human	Glycosaminoglycan degradation	19
KEGG_2021_Human	Glycosphingolipid biosynthesis	45
KEGG_2021_Human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	26
KEGG_2021_Human	Glyoxylate and dicarboxylate metabolism	30
KEGG_2021_Human	GnRH secretion	64
KEGG_2021_Human	GnRH signaling pathway	93
KEGG_2021_Human	Graft-versus-host disease	42
KEGG_2021_Human	Growth hormone synthesis, secretion and action	119
KEGG_2021_Human	HIF-1 signaling pathway	109
KEGG_2021_Human	Hedgehog signaling pathway	56
KEGG_2021_Human	Hematopoietic cell lineage	99
KEGG_2021_Human	Hepatitis B	162
KEGG_2021_Human	Hepatitis C	157
KEGG_2021_Human	Hepatocellular carcinoma	168
KEGG_2021_Human	Herpes simplex virus 1 infection	498
KEGG_2021_Human	Hippo signaling pathway	163
KEGG_2021_Human	Histidine metabolism	22
KEGG_2021_Human	Homologous recombination	41
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	219
KEGG_2021_Human	Human cytomegalovirus infection	225
KEGG_2021_Human	Human immunodeficiency virus 1 infection	212
KEGG_2021_Human	Human papillomavirus infection	331
KEGG_2021_Human	Huntington disease	306
KEGG_2021_Human	Hypertrophic cardiomyopathy	90
KEGG_2021_Human	IL-17 signaling pathway	94
KEGG_2021_Human	Inflammatory bowel disease	65
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	98
KEGG_2021_Human	Influenza A	172
KEGG_2021_Human	Inositol phosphate metabolism	73
KEGG_2021_Human	Insulin resistance	108
KEGG_2021_Human	Insulin secretion	86
KEGG_2021_Human	Insulin signaling pathway	137
KEGG_2021_Human	Intestinal immune network for IgA production	48
KEGG_2021_Human	JAK-STAT signaling pathway	162
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	193
KEGG_2021_Human	Legionellosis	57
KEGG_2021_Human	Leishmaniasis	77
KEGG_2021_Human	Leukocyte transendothelial migration	114
KEGG_2021_Human	Linoleic acid metabolism	29
KEGG_2021_Human	Lipid and atherosclerosis	215
KEGG_2021_Human	Long-term depression	60
KEGG_2021_Human	Long-term potentiation	67
KEGG_2021_Human	Longevity regulating pathway	102
KEGG_2021_Human	Lysine degradation	63
KEGG_2021_Human	Lysosome	128
KEGG_2021_Human	MAPK signaling pathway	294
KEGG_2021_Human	Malaria	50
KEGG_2021_Human	Mannose type O-glycan biosynthesis	23
KEGG_2021_Human	Maturity onset diabetes of the young	26
KEGG_2021_Human	Measles	139
KEGG_2021_Human	Melanogenesis	101
KEGG_2021_Human	Melanoma	72
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	76
KEGG_2021_Human	MicroRNAs in cancer	310
KEGG_2021_Human	Mineral absorption	60
KEGG_2021_Human	Mismatch repair	23
KEGG_2021_Human	Mitophagy	68
KEGG_2021_Human	Morphine addiction	91
KEGG_2021_Human	Mucin type O-glycan biosynthesis	36
KEGG_2021_Human	N-Glycan biosynthesis	50
KEGG_2021_Human	NF-kappa B signaling pathway	104
KEGG_2021_Human	NOD-like receptor signaling pathway	181
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	131
KEGG_2021_Human	Necroptosis	159
KEGG_2021_Human	Neomycin, kanamycin and gentamicin biosynthesis	5
KEGG_2021_Human	Neuroactive ligand-receptor interaction	341
KEGG_2021_Human	Neurotrophin signaling pathway	119
KEGG_2021_Human	Neutrophil extracellular trap formation	189
KEGG_2021_Human	Nicotinate and nicotinamide metabolism	35
KEGG_2021_Human	Nicotine addiction	40
KEGG_2021_Human	Nitrogen metabolism	17
KEGG_2021_Human	Non-alcoholic fatty liver disease	155
KEGG_2021_Human	Non-homologous end-joining	13
KEGG_2021_Human	Non-small cell lung cancer	72
KEGG_2021_Human	Notch signaling pathway	59
KEGG_2021_Human	Nucleotide excision repair	47
KEGG_2021_Human	Olfactory transduction	440
KEGG_2021_Human	One carbon pool by folate	20
KEGG_2021_Human	Oocyte meiosis	129
KEGG_2021_Human	Osteoclast differentiation	127
KEGG_2021_Human	Other glycan degradation	18
KEGG_2021_Human	Other types of O-glycan biosynthesis	47
KEGG_2021_Human	Ovarian steroidogenesis	51
KEGG_2021_Human	Oxidative phosphorylation	133
KEGG_2021_Human	Oxytocin signaling pathway	154
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	89
KEGG_2021_Human	PI3K-Akt signaling pathway	354
KEGG_2021_Human	PPAR signaling pathway	74
KEGG_2021_Human	Pancreatic cancer	76
KEGG_2021_Human	Pancreatic secretion	102
KEGG_2021_Human	Pantothenate and CoA biosynthesis	21
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	106
KEGG_2021_Human	Parkinson disease	249
KEGG_2021_Human	Pathogenic Escherichia coli infection	197
KEGG_2021_Human	Pathways in cancer	531
KEGG_2021_Human	Pathways of neurodegeneration	475
KEGG_2021_Human	Pentose and glucuronate interconversions	34
KEGG_2021_Human	Pentose phosphate pathway	30
KEGG_2021_Human	Peroxisome	82
KEGG_2021_Human	Pertussis	76
KEGG_2021_Human	Phagosome	152
KEGG_2021_Human	Phenylalanine metabolism	17
KEGG_2021_Human	Phenylalanine, tyrosine and tryptophan biosynthesis	6
KEGG_2021_Human	Phosphatidylinositol signaling system	97
KEGG_2021_Human	Phospholipase D signaling pathway	148
KEGG_2021_Human	Phosphonate and phosphinate metabolism	6
KEGG_2021_Human	Phototransduction	28
KEGG_2021_Human	Platelet activation	124
KEGG_2021_Human	Porphyrin and chlorophyll metabolism	43
KEGG_2021_Human	Primary bile acid biosynthesis	17
KEGG_2021_Human	Primary immunodeficiency	38
KEGG_2021_Human	Prion disease	273
KEGG_2021_Human	Progesterone-mediated oocyte maturation	100
KEGG_2021_Human	Prolactin signaling pathway	70
KEGG_2021_Human	Propanoate metabolism	34
KEGG_2021_Human	Prostate cancer	97
KEGG_2021_Human	Proteasome	46
KEGG_2021_Human	Protein digestion and absorption	103
KEGG_2021_Human	Protein export	23
KEGG_2021_Human	Protein processing in endoplasmic reticulum	171
KEGG_2021_Human	Proteoglycans in cancer	205
KEGG_2021_Human	Proximal tubule bicarbonate reclamation	23
KEGG_2021_Human	Purine metabolism	129
KEGG_2021_Human	Pyrimidine metabolism	56
KEGG_2021_Human	Pyruvate metabolism	47
KEGG_2021_Human	RIG-I-like receptor signaling pathway	70
KEGG_2021_Human	RNA degradation	79
KEGG_2021_Human	RNA polymerase	31
KEGG_2021_Human	RNA transport	186
KEGG_2021_Human	Rap1 signaling pathway	210
KEGG_2021_Human	Ras signaling pathway	232
KEGG_2021_Human	Regulation of actin cytoskeleton	218
KEGG_2021_Human	Regulation of lipolysis in adipocytes	55
KEGG_2021_Human	Relaxin signaling pathway	129
KEGG_2021_Human	Renal cell carcinoma	69
KEGG_2021_Human	Renin secretion	69
KEGG_2021_Human	Renin-angiotensin system	23
KEGG_2021_Human	Retinol metabolism	68
KEGG_2021_Human	Retrograde endocannabinoid signaling	148
KEGG_2021_Human	Rheumatoid arthritis	93
KEGG_2021_Human	Riboflavin metabolism	8
KEGG_2021_Human	Ribosome	158
KEGG_2021_Human	Ribosome biogenesis in eukaryotes	108
KEGG_2021_Human	SNARE interactions in vesicular transport	33
KEGG_2021_Human	Salivary secretion	93
KEGG_2021_Human	Salmonella infection	249
KEGG_2021_Human	Selenocompound metabolism	17
KEGG_2021_Human	Serotonergic synapse	113
KEGG_2021_Human	Shigellosis	246
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	143
KEGG_2021_Human	Small cell lung cancer	92
KEGG_2021_Human	Sphingolipid metabolism	49
