set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter	in_toks	out_toks
Dopaminergic synapse	0.047619047619047616	0.0013604756626020356	0.1111111111111111	35.001763668430335	8.524488070374496e-05	0.008013018786152026	SLC6A3,TH,SLC18A2	NTRK2,DRD3,DRD5,GRK6,PRKN,PPP1R1B,PINK1,DJ1,VMAT2,DRD4,SNCA,TH,MAOB,SLC6A3,MAOA,CSF1,GCH1,GRK4,DRD2,DRD1,COMT,PPFIA2,SLC18A2,BDNF,GDNF,DDC,EGFR	63	27	3	160	246
Regulation of dopamine metabolic process	0.031746031746031744	0.0009069837750680237	0.1111111111111111	35.001763668430335	0.001477694982167726	0.06945166416188311	SLC6A3,TH	LRRK2,SNCA,TH,MAOB,SLC6A3,MAOA,DDC,NR4A2,AADC,GCH1,VMAT2,DRD2,PRL,DBH,COMT,PARK2,PTEN,UCHL1	63	18	2	160	160
Microglial cell chemotaxis	0.015873015873015872	0.000503879875037791	0.1	31.5015873015873	0.03140005716025074	0.48058542377129115	IL1B	CXCL10,CXCR4,CCR2,CXCL12,CSF1R,TNF,IL6,IL1B,CCL2,CX3CR1	63	10	1	162	135
Axonal transport	0.015873015873015872	0.0008062078000604656	0.0625	19.688492063492063	0.04977219719102755	0.48058542377129115	HTT	DCTN1,SYNE2,DNM2,APP,DYNC1H1,MILR1,KIF5A,KIF1A,SYNE1,AP4M1,PFN2,RAB7A,AP4B1,MAPT,HTT,DNM1	63	16	1	154	218
Dopaminergic neuron differentiation	0.015873015873015872	0.0008062078000604656	0.0625	19.688492063492063	0.04977219719102755	0.48058542377129115	TH	EN1,TH,GDNF,LMX1A,Otx2,Fgf8,Sonic Hedgehog (SHH),NR4A2,FOXA2,Wnt1,NURR1,Nkx6-1,Lmx1b,ASCL1,PITX3,Dlk1	63	16	1	160	169
Cell junction assembly	0.015873015873015872	0.001007759750075582	0.05	15.75079365079365	0.06182931581355289	0.48058542377129115	ITGB1	CDH1,ITGB1,ITGA1,CLDN1,PXN,GJA1,PKP2,LAMA1,JUP,TJP1,DSC1,VCL,CTNNB1,DSG1,ZYX,CTNNA1,GJB1,CDH2,DSP,OCLN	63	20	1	154	262
IL-1 signaling pathway	0.015873015873015872	0.001007759750075582	0.05	15.75079365079365	0.06182931581355289	0.48058542377129115	IL1B	IKBKG,ACT1,TIRAP,CYLD,IKBKB,IL1R1,NFKBIA,MAP3K7,CHUK,NFKB1,IL1RAP,TAB1,TAK1,IRAK4,TAB2,IL1B,TRAF6,MYD88,IRAK1,RELA	63	20	1	158	265
Neurodegenerative disease pathways	0.015873015873015872	0.001007759750075582	0.05	15.75079365079365	0.06182931581355289	0.48058542377129115	HTT	LRRK2,PRNP,PSEN1,SOD1,PINK1,APP,DJ1,TBK1,SNCA,SQSTM1,OPTN,MAPT,PSEN2,VCP,TARDBP,C9orf72,TREM2,CHCHD10,FUS,HTT	63	20	1	160	179
Huntington's disease pathway	0.015873015873015872	0.001007759750075582	0.05	15.75079365079365	0.06182931581355289	0.48058542377129115	HTT	NR2F1,NR3C1,YWHAZ,SIN3A,CREB1,DYRK1A,CALM3,RANBP2,HAP1,ATXN1,CALM2,GSK3B,BDNF,UBE2I,CALM1,NR2F2,TP53,HSPBP1,REST,HTT	63	20	1	160	188
Positive regulation of cytokine production	0.015873015873015872	0.0012093117000906983	0.041666666666666664	13.125661375661375	0.07373584377455092	0.48058542377129115	IL1B	JAK2,IL4,CXCL8,NOD2,IL12B,TLR4,MAPK1,TGFB1,STAT3,NFkB1,NFKBIA,IL18,IL10,REL,STAT1,IRF5,CSF1,IL17A,IL6,IL1B,MAPK14,MYD88,TNF,IFNG	63	24	1	160	214
Regulation of neurotransmitter levels	0.015873015873015872	0.0012596996875944774	0.04	12.60063492063492	0.07668916336775923	0.48058542377129115	SLC6A3	SLC6A2,GABRB1,GAD1,DRD3,GABRB2,GABRA1,HTR2A,GABRA3,SLC6A4,SLC1A1,GABRA2,HTR1A,GAD2,TPH2,MAOB,SLC6A3,MAOA,TPH1,DRD2,COMT,BDNF,NOS1,SLC1A3,SLC1A2,CHAT	63	25	1	160	243
Integrin signaling pathway	0.015873015873015872	0.0012596996875944774	0.04	12.60063492063492	0.07668916336775923	0.48058542377129115	ITGB1	CDC42,AKT1,PIK3CA,ERK2,ITGB1,TALIN1,RAC1,FAK1,PXN,FN1,LAMC1,ITGAV,RHOA,MMP2,PIK3R1,VCL,CTNNB1,MMP9,TLN1,SRC,ERK1,ITGB3,ROCK1,ACTN1,PTEN	63	25	1	156	329
Synaptic vesicle cycle	0.015873015873015872	0.0012596996875944774	0.04	12.60063492063492	0.07668916336775923	0.48058542377129115	UNC13C	RAB3C,SNAP91,SYT1,DYN1,SNAP25,STX1A,UNC13A,SYN2,DYN2,CLTC,RAB3D,SYT7,SYN1,RIMS1,RAB3B,VAMP4,STXBP1,VAMP2,STXBP2,CLTB,RAB3A,CLTCL1,UNC13C,SYN3,UNC13B	63	25	1	158	337
Inflammatory response	0.015873015873015872	0.0012596996875944774	0.04	12.60063492063492	0.07668916336775923	0.48058542377129115	IL1B	CSF2,CXCL10,S100A8,IL12B,TLR4,TGFB1,STAT3,CCL2,IL8,IL18,CXCL1,IL10,TNFAIP3,PTGS2,NFKB1,S100A9,IL6,IL1B,I-kappa,CSF3,MMP9,MCP1,TNF,IFNG,RELA	63	25	1	156	327
Cytokine-mediated signaling pathway	0.015873015873015872	0.0012596996875944774	0.04	12.60063492063492	0.07668916336775923	0.48058542377129115	IL1B	JAK2,CSF2,CXCR1,CXCL8,IL12B,STAT3,NFKBIA,IL18,STAT5A,IL10,SOCS1,SOCS3,STAT1,CXCR2,NFKB1,IL17A,IL6,IL1B,IFNG,CSF3,TNF,JAK1,IL4,STAT5B,RELA	63	25	1	162	324
Microglia activation	0.015873015873015872	0.0013604756626020356	0.037037037037037035	11.667254556143446	0.08256802888767623	0.48508716971509785	IL1B	ITGB5,C1QA,TLR4,CSF1R,GSN,C1QB,IBA1,HLA-DRA,NOS2,FCER1G,SALL1,CD86,P2RY13,CTSD,FN1,TMEM119,CD68,IL1B,SPI1,SYK,AIF1,TREM2,TNF,MSR1,P2RY12,C1QC,CX3CR1	63	27	1	156	353
Neuroinflammatory response	0.015873015873015872	0.0016628035876247102	0.030303030303030304	9.545935545935546	0.0999844853564545	0.5371338648156877	IL1B	CXCL10,CXCL8,TNFRSF1A,TLR4,TGFB1,CSF1R,STAT3,CCL2,SOD1,CD80,APP,IL10,HLA-DRA,NOS2,CTSS,PTGS2,CD40,ICAM1,CD86,CCR2,NFKB1,IL6,IL1B,TNFRSF1B,MAPT,CX3CR1,GFAP,MMP9,AIF1,TNF,APOE,VCAM1,RELA	63	33	1	158	427
Autophagy	0.015873015873015872	0.0017131915751284893	0.029411764705882353	9.26517273576097	0.10285542092215297	0.5371338648156877	MAP1LC3A	MTOR,ATG16L1,ATG4D,FIP200,VPS34,GABARAPL2,EPG5,LC3B,ATG9A,ATG7,ATG4C,AMBRA1,RUBCN,TBC1D25,WIPI2,BECN1,MAP1LC3A,SQSTM1,GABARAP,ATG9B,BIF1,ULK2,RPTOR,ATG4B,OPTN,ATG4A,GABARAPL1,MAP1LC3C,TMEM41B,WIPI1,ULK1,MAP1LC3B,ATG12,ATG5	63	34	1	154	468
Cellular response to oxidative stress	0.015873015873015872	0.002015519500151164	0.025	7.875396825396825	0.11989273249273957	0.5931535186482906	SESN1	MT2A,MAPK3,PRDX6,SRXN1,CAT,MAPK1,PRDX3,ATR,ATM,HMOX1,NRF1,PRDX5,TXNRD1,MAPK8,SOD1,KEAP1,SESN1,GCLC,PINK1,DJ1,ALDH2,GCLM,PRDX2,PARK2,GSS,NRF2,GPX1,NQO1,GSK3B,SOD2,PRDX4,FOXO3,NFE2L2,GSR,MAPK14,SESN2,TP53,HIF1A,TXN,PRDX1	63	40	1	160	361
Endocytic recycling	0.015873015873015872	0.002569787362692734	0.0196078431372549	6.176781823840647	0.1503047955968946	0.7064325393054046	SNX27	ARP2,CDC42,SNX1,SNX27,SNX3,VAMP3,VPS5B,RAB5C,SNAP47,RAB21,ARPC3,ARPC1B,RAB11B,ECT2,MTMR13,SDC1,RAB4A,CHMP4B,RAB35,VPS7,SNAP29,ARPC4,VPS19,VPS26A,SNX4,CHMP6,SDC3,CHMP3,CFL1,MTMR2,SDC4,SNX18,VPS35,SDC2,SNX9,CHMP2A,ARPC2,RAB5B,VPS29,RAB5A,SNX2,ARP3,VAMP8,DYNLL2,ARPC1A,VPS26B,VPS5A,ARPC5,DYNLL1,RAB11A,CFL2	63	51	1	156	681
