term	go_id	go_depth
9+0 Non-Motile Cilium (GO:0097731)	GO:0097731	7
9+2 Motile Cilium (GO:0097729)	GO:0097729	7
90S Preribosome (GO:0030686)	GO:0030686	5
AMPA Glutamate Receptor Complex (GO:0032281)	GO:0032281	8
AP-1 Adaptor Complex (GO:0030121)	GO:0030121	7
AP-2 Adaptor Complex (GO:0030122)	GO:0030122	9
AP-3 Adaptor Complex (GO:0030123)	GO:0030123	7
ATAC Complex (GO:0140672)	GO:0140672	10
ATP-binding Cassette (ABC) Transporter Complex (GO:0043190)	GO:0043190	7
ATPase Dependent Transmembrane Transport Complex (GO:0098533)	GO:0098533	6
B-WICH Complex (GO:0110016)	GO:0110016	9
BLOC-1 Complex (GO:0031083)	GO:0031083	5
CD40 Receptor Complex (GO:0035631)	GO:0035631	5
CMG Complex (GO:0071162)	GO:0071162	8
COPI Vesicle Coat (GO:0030126)	GO:0030126	6
COPI-coated Vesicle (GO:0030137)	GO:0030137	7
COPI-coated Vesicle Membrane (GO:0030663)	GO:0030663	8
COPII Vesicle Coat (GO:0030127)	GO:0030127	9
COPII-coated ER To Golgi Transport Vesicle (GO:0030134)	GO:0030134	7
CatSper Complex (GO:0036128)	GO:0036128	10
Cdc73/Paf1 Complex (GO:0016593)	GO:0016593	10
Cul2-RING Ubiquitin Ligase Complex (GO:0031462)	GO:0031462	6
Cul3-RING Ubiquitin Ligase Complex (GO:0031463)	GO:0031463	6
Cul4-RING E3 Ubiquitin Ligase Complex (GO:0080008)	GO:0080008	6
Cul4A-RING E3 Ubiquitin Ligase Complex (GO:0031464)	GO:0031464	7
Cul5-RING Ubiquitin Ligase Complex (GO:0031466)	GO:0031466	6
ER To Golgi Transport Vesicle Membrane (GO:0012507)	GO:0012507	8
ESC/E(Z) Complex (GO:0035098)	GO:0035098	9
G Protein-Coupled Receptor Dimeric Complex (GO:0038037)	GO:0038037	6
GABA-A Receptor Complex (GO:1902711)	GO:1902711	5
GABA-ergic Synapse (GO:0098982)	GO:0098982	5
GBAF Complex (GO:0140288)	GO:0140288	9
Golgi Cis Cisterna (GO:0000137)	GO:0000137	9
Golgi Cisterna (GO:0031985)	GO:0031985	8
Golgi Cisterna Membrane (GO:0032580)	GO:0032580	5
Golgi Lumen (GO:0005796)	GO:0005796	6
Golgi Medial Cisterna (GO:0005797)	GO:0005797	9
Golgi Membrane (GO:0000139)	GO:0000139	6
Golgi Stack (GO:0005795)	GO:0005795	7
Golgi Trans Cisterna (GO:0000138)	GO:0000138	9
Golgi-associated Vesicle (GO:0005798)	GO:0005798	6
Golgi-associated Vesicle Membrane (GO:0030660)	GO:0030660	7
H3 Histone Acetyltransferase Complex (GO:0070775)	GO:0070775	9
H4 Histone Acetyltransferase Complex (GO:1902562)	GO:1902562	9
H4/H2A Histone Acetyltransferase Complex (GO:0043189)	GO:0043189	10
HFE-transferrin Receptor Complex (GO:1990712)	GO:1990712	5
Hrd1p Ubiquitin Ligase ERAD-L Complex (GO:0000839)	GO:0000839	8
Hrd1p Ubiquitin Ligase Complex (GO:0000836)	GO:0000836	7
INO80-type Complex (GO:0097346)	GO:0097346	9
ISWI-type Complex (GO:0031010)	GO:0031010	9
Ino80 Complex (GO:0031011)	GO:0031011	8
MHC Class I Protein Complex (GO:0042612)	GO:0042612	7
MHC Class II Protein Complex (GO:0042613)	GO:0042613	7
